problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
parametric_truss_example,36241.748914718155,0.1,0,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[2,1,1,1,1,1,1,1,1,1]","[2,1,1,1,1,1,1,1,1,1]"
"[35580.108435641436,35640.661505698714,35682.62854184992,35723.21225565567,35760.406125301335,35801.69534978341,35802.49831399679,35808.97086336836,35813.81970056279,35824.754536974615,35829.39653339098,35829.40917800096,35829.806789673436,35829.8108459138,35839.9421410027,35854.232502084786,35861.76242008757,35868.74534101104,35868.76241490382,35948.23833165872,35958.33153869564,35971.89670225318,36004.77378242182,36030.676646444386,36044.651672727254,36047.138505498544,36072.05802759917,36077.390524149865,36084.644890281415,36084.87968205025,36093.725745609205,36104.213408349955,36104.229003510176,36111.9321670023,36112.19665718624,36122.9672618706,36127.579747953176,36133.94622548841,36133.95290719386,36152.84376968931,36153.129837844346,36157.94053179472,36157.94728949526,36159.0071934544,36159.01199406343,36159.02113960478,36161.043181395085,36163.35457571619,36163.891959194385,36166.223287827685,36166.225506351504,36166.95399458954,36169.18222260079,36169.18450514084,36169.705217771945,36169.99334912936,36169.99656804493,36173.81634178537,36173.81837760137,36174.6335602258,36174.66824621542,36175.337249043565,36175.33857667404,36175.941445266486,36178.579248150076,36189.13246091314,36198.17281327609,36198.423805755985,36199.56071856572,36209.479359538534,36215.419356669714,36218.419766160376,36219.5288373082,36219.74612873972,36219.75034917068,36223.97106482719,36228.1820849678,36232.59936631457,36233.607451884454,36237.21876592804,36237.49037654627,36240.671228676685,36240.6967317254,36240.70005918601,36240.7089433364,36240.71000876203,36240.728156193596,36240.7407509562,36241.408568207175,36241.41314616518,36241.413637131314,36241.41437111793,36241.41456879951,36241.41456879951,36241.41509939133,36241.41568028188,36241.41646056129,36241.41654893077,36241.748904594155,36241.748914718155]"
,,,,,,,
