problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
parametric_truss_example,36214.16909163764,0.1,0,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[35740.73262566835,36008.920711843595,36120.20265167895,36174.50850481694,36194.63173924661,36203.40593265265,36207.25662618769,36210.29066537852,36211.348146673794,36211.39029686483,36212.7524778524,36213.09673361577,36213.43043461369,36213.588835406845,36213.64492822113,36214.067704093635,36214.09805197115,36214.16509396555,36214.16909163764,36214.10765267521,36213.952270927155,36213.952275412186,36214.04157267771,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546,36214.041572905546]"
,,,,,,,
