problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
parametric_truss_example,35893.01207161031,0.1,0,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[35672.54262128356,35675.81775234231,35675.94966090504,35675.9741460721,35675.93729915436,35675.974602561226,35676.01763758063,35676.03379587087,35676.054272566354,35676.06490794171,35676.067951755824,35676.0563337709,35676.0642606118,35678.44389571791,35678.445537764965,35678.45153226088,35678.45122033649,35678.45857322523,35678.45981780651,35678.462194702515,35689.658129816205,35689.6634935647,35689.67390663567,35687.91442029531,35564.528125034885,35564.52924062802,35705.26116677697,35705.26366355767,35705.26271724507,35705.263333630224,35705.26333063694,35705.26566944432,35705.23650058909,35707.48272620878,35707.48451879232,35707.48525945165,35707.48612853412,35707.48612853412,35703.74095350121,35703.74106987736,35703.734303075056,35703.72576175847,35703.72761916532,35703.74707479544,35703.74697321512,35706.13716797,35706.138070274734,35706.083279861974,35706.083436660454,35707.01785626765,35707.02603144505,35707.02602412561,35707.02951967596,35707.03068221733,35707.02663428745,35707.02697314829,35707.0288364923,35707.031888706675,35707.033239011,35707.0330824234,35707.03349974286,35707.03421411715,35707.035927629244,35707.07130495175,35707.0654801115,35707.02006036806,35707.02276820061,35707.0231974452,35707.03661280036,35706.947435284805,35706.973755515064,35707.00544271048,35713.290963402134,35713.29167218375,35720.449765434634,35720.46747053763,35720.472886546675,35720.47403855097,35720.47868728213,35724.262087097915,35724.26386139713,35724.26870019688,35724.27136787051,35724.28426209003,35724.2846673664,35724.2846673664,35720.47221796938,35876.122382588364,35848.783141775,35720.47542099877,35877.852252307945,35877.856147612736,35877.86162672472,35892.99947706665,35893.002849962664,35893.00444304187,35893.00291496917,35893.00101258461,35893.01186071064,35893.01207161031]"
,,,,,,,
